attractsBirds,attractsButterflies,attractsPollinators,colorOfInterest,commonName,isEdible,plantCycle,plantDescription,plantHeight,plantImagePath,plantLight,plantSoil,plantSpread,plantType,plantWater,plantZone,resistsDeer,scientificName,seasonOfInterest,toxicToAnimals
FALSE,FALSE,TRUE,green,coral bells,FALSE,perennial,"Dense mounds of round, mottled foliage are the main feature and can remain green through winter. Slender flower stalks bear many pea-sized, cream-colored flowers April-June. Heuchera richardsonii can tolerate somewhat dryer conditions in full sun.",2 to 3 feet,resources/plant_images/heuchera-americana.jpg,"full sun,part sun-part shade,full shade",medium,12 to 20 inches,herbaceous - flowering,moderate,"5b,6a,6b,7a,7b,8a",TRUE,Heuchera americana,summer,FALSE
TRUE,FALSE,FALSE,green,false aloe,FALSE,perennial,"Several fleshy, succulent leaves radiate from a central point. Plants are stemless, lying close to the soil. Single flower stalks bear several fragrant, mostly green flowers. Missouri s version of the century plant.",3 to 5 feet,resources/plant_images/manfreda-virginica.jpg,"full sun,part sun-part shade,full shade","light,medium,heavy",16 to 20 inches,herbaceous - flowering,dry,"5b,6a,6b,7a,7b,8a",TRUE,Manfreda virginica,summer,FALSE
TRUE,TRUE,FALSE,yellow,American linden,FALSE,perennial,"A stately, fast-growing tree with dark green leaves. In late spring, fragrant yellow flowers provide nectar for bees. Fall color may be deep yellow.",50 to 80 feet,resources/plant_images/tilia-americana.jpg,"full sun,part sun-part shade,full shade","light,medium,heavy",30 to 50 feet,tree,moderate,"5b,6a,6b,7a,7b,8a",FALSE,Tilia americana,summer,FALSE
FALSE,FALSE,FALSE,"green,yellow",American beakgrain,FALSE,perennial,"Moderate-height perennial ground cover with dark green glossy medium-texture foliage that turns white-tipped in winter.",20 to 30 inches,resources/plant_images/diarrhena-obovata.jpg,"part sun-part shade,full shade","medium,heavy",1.5 to 2 feet,grass,"moderate,wet","5b,6a,6b,7a,7b,8a",FALSE,Diarrhena obovata,summer,FALSE
TRUE,TRUE,FALSE,"lavender,pink",American beautyberry,FALSE,perennial,"Small pink blooms in summer are followed by clusters of brilliant fuschia berries in the fall. Berries color in early October and remain until they are eaten by birds and small mammals in late November. Light yellow fall color.",4 to 5 feet,resources/plant_images/callicarpa-americana.jpg,"full sun,part sun-part shade,full shade","light,medium,heavy",3 to 4 feet,shrub,"dry,moderate","5b,6a,6b,7a,7b,8a",TRUE,Callicarpa americana,summer,FALSE
TRUE,FALSE,FALSE,"green,yellow",American beech,FALSE,perennial,"Slow-growing but long-lived medium or large tree, with smooth grey bark and toothed leaves that can turn an attractive bronze in fall. With prickled fruits and nuts in fall, enjoyed by wildlife.",50 to 80 feet,resources/plant_images/fagus-grandifolia.jpg,full sun,"light,medium",30 to 40 feet,tree,wet,"5b,6a,6b,7a,7b,8a",FALSE,Fagus grandifolia,spring,FALSE
FALSE,FALSE,FALSE,green,American bittersweet,FALSE,perennial,"A twining woody vine that will grow vertically or sprawl horizontally over bushes and fences. Hanging clusters of orange-red fruit split open to show bright red-orange seed coats. Plants are male or female. Both sexes are needed for fruit set.",up to 20 feet,resources/plant_images/celastrus-scandens.jpg,"full sun,part sun-part shade,full shade","light,medium,heavy",6 to 9 feet,vine,"dry,moderate","5b,6a,6b,7a,7b,8a",FALSE,Celastrus scandens,spring,TRUE
TRUE,FALSE,FALSE,"brown,red",American hazelnut,FALSE,perennial,"A deciduous multi-stemmed shrub with dark green leaves that forms a rounded thicket. Quail, grouse, blue jays, squirrel and deer feed on various parts of the plant. Fall color varies from  orange, rose, purplish red, yellowish-green.",10 to 16 feet,resources/plant_images/corylus-americana.jpg,"full sun,part sun-part shade,full shade","light,medium,heavy",8 to 13 feet,shrub,"dry,moderate","5b,6a,6b,7a,7b,8a",FALSE,Corylus americana,spring,FALSE
FALSE,FALSE,FALSE,"green,white",American holly,FALSE,perennial,"Evergreen tree with a narrow, pyramidal crown and dark green leaves. Female plants produce red berries which ripen in October and persist throughout the winter. Birds are attracted to the fruit. Winter birds, especially mockingbirds, eat berries.",15 to 30 feet,resources/plant_images/ilex-opaca.jpg,"full sun,part sun-part shade,full shade","light,medium,heavy",10 to 20 feet,tree,moderate,"5b,6a,6b,7a,7b,8a",FALSE,Ilex opaca,spring,TRUE
FALSE,FALSE,FALSE,"green,white",American hornbeam,FALSE,perennial,"A small-to-medium multi-stemmed tree forming wide-spreading rounded tops. Dark green, toothed leaves turn to variable yellow, orange, red or reddish-purple in fall. Beautiful thin, bluish-gray bark that appears to ripple as the tree matures.",20 to 40 feet,resources/plant_images/carpinus-caroliniana.jpg,"full sun,part sun-part shade,full shade","light,medium,heavy",20 to 50 feet,tree,"moderate,wet","5b,6a,6b,7a,7b,8a",FALSE,Carpinus caroliniana,winter,FALSE
FALSE,FALSE,TRUE,yellow,American lotus,TRUE,perennial,"An aquatic plant with fragrant, pale yellow flowers and bowl-shaped leaves borne on stalks above the water. For water gardens or small ponds, plant roots in large containers or planting baskets with up to 24 inches of water covering the crowns.",3 to 6 feet,resources/plant_images/nelumbo-lutea.jpg,full sun,"light,medium,heavy",3 to 4 feet,herbaceous - flowering,wet,"5b,6a,6b,7a,7b,8a",FALSE,Nelumbo lutea,spring,FALSE
FALSE,FALSE,FALSE,"green,yellow",American smoketree,FALSE,perennial,"Small tree / large shrub with rounded, bluish-to-dark green leaves that turn a mix of yellow, orange and amber to red and burgundy in fall. Huge pale green clusters of flowerheads with silken hairs form the appearance of smoke in late spring.",8 to 30 feet,resources/plant_images/cotinus-obovatus.jpg,"full sun,part sun-part shade,full shade","light,medium,heavy",12 to 20 feet,tree,"dry,moderate","5b,6a,6b,7a,7b,8a",FALSE,Cotinus obovatus,spring,FALSE
FALSE,FALSE,TRUE,white,American snowbell,FALSE,perennial,"An unusual spring flowering shrub. Fragrant white bell-shaped flowers with reflexed petals droop from the branches in late spring. The rounded leaves are dark green, bark is gray to reddish-brown. Attracts pollinators, particularly bumblebees.",6 to 9 feet,resources/plant_images/styrax-americanus.jpg,"part sun-part shade,full shade",medium,5 to 10 feet,shrub,moderate,"6a,6b,7a,7b,8a",FALSE,Styrax americanus,spring,FALSE
TRUE,FALSE,TRUE,white,American spikenard,FALSE,perennial," Bushy plant with heart-shaped leaves and tiny greenish-white summer flowers on panicles; flowers are followed by hanging clusters of showy fall fruits that ripen to purplish-black and are eaten by birds. Borne on soft stems, the leaves move in the breeze. ",3 to 4 feet,resources/plant_images/aralia-racemosa.jpg,full shade,"light,medium,heavy",3 to 4 feet,shrub,"moderate,wet","5b,6a,6b,7a,7b,8a",TRUE,Aralia racemosa,summer,FALSE
FALSE,TRUE,TRUE,"pink,purple",purple milkweed,FALSE,perennial,"Flower color is a rich red-purple, with one to three blooms forming near the ends of the stems in late spring, early summer. Flowers attract a variety of nectar-seeking insects. Leaves are large, around 6 to 8 inches, tapering to a point at both ends.",2 to 3 feet,resources/plant_images/asclepias-purpurascens.jpg,full sun,"light,heavy",1 to 3 feet,herbaceous - flowering,"dry,moderate","5b,6a,6b,7a,7b,8a",TRUE,Asclepias purpurascens,summer,TRUE
TRUE,TRUE,FALSE,"blue,purple",aromatic aster,FALSE,perennial,"This aster is loaded with blue-purple daisy-like flowers in late fall. By trimming this plant annually, no later than May, it grows into a tidy, compact, self-supporting mound and may be grown as a hedge. Pollinated by bees and visited by butterflies.",12 to 30 inches,resources/plant_images/symphyotrichum-oblongifolium.jpg,full sun,"light,heavy",16 to 20 inches,herbaceous - flowering,"dry,moderate","5b,6a,6b,7a,7b,8a",TRUE,Symphyotrichum oblongifolium,autumn,FALSE
FALSE,FALSE,FALSE,"green,yellow",green arrow arum,FALSE,perennial,"An easy to grow, spectacular tropical-looking native plant that is great for containers or small ponds. Large arrowhead leaves with greenish-white spathe and spadix flowers appearing in late spring. Waterfowl eat the fruit.",2 to 4 feet,resources/plant_images/peltandra-virginica.jpg,"full sun,part sun-part shade,full shade","light,medium,heavy",1.5 to 2 feet,herbaceous - flowering,wet,"5b,6a,6b,7a,7b,8a",FALSE,Peltandra virginica,spring,TRUE
